title,text
Prince (musician),"Prince Rogers Nelson (June 7, 1958 – April 21, 2016) was an American singer-songwriter, multi-instrumentalist, and record producer.  He was a musical innovator who was known for his eclectic work, flamboyant stage presence, extravagant dress and makeup, and wide vocal range.  His music integrates a wide variety of styles, including funk, rock, R&B, new wave, soul, psychedelia, and pop.  He has sold over 100 million records worldwide, making him one of the best-selling music artists of all time.  He won seven Grammy Awards, an American Music Award, a Golden Globe Award, and an Academy Award for the film ""Purple Rain"".  He was inducted into the Rock and Roll Hall of Fame in 2004, his first year of eligibility."
Ed Motta,"Eduardo ""Ed"" Motta (born August 17, 1971) is a Brazilian MPB, rock, soul, funk and jazz musician.  He is the nephew of late singer-songwriter Tim Maia."
Amy Macdonald,"Amy Elizabeth Macdonald (born 25 August 1987) is a Scottish singer-songwriter, and guitarist, and musician.  She has sold over 12 million records worldwide.  Macdonald released her debut album ""This Is the Life"" in 2007.  The singles ""Mr. Rock & Roll"" and ""This Is the Life"" from it were chart hits.  The latter charted at number one in six countries, while reaching the top 10 in another 11 countries.  The album reached number one in four European countries–the United Kingdom, Denmark, the Netherlands and Switzerland–and sold three million copies worldwide.  Moderate success in the American music market followed in 2008.  She was a guest on shows such as ""The Ellen DeGeneres Show"" and ""The Late Late Show with Craig Ferguson"", where she performed two singles from the album, and ""This Is the Life"" reached number 92 on the ""Billboard"" 200."
Rhett Lawrence,"Rhett Lawrence is an American record producer and songwriter, who has been described as a visionary who has the ability to create career-defining hits for artists.  Throughout his career, Lawrence’s creative contributions helped generate sales of over 225 million records and he received over 725 gold, platinum and diamond awards worldwide.  He has produced, mentored, and helped launch the career of 5 of the top 200 artists of all time who have sold over 350,000,000 records worldwide.  He has worked with 30 of the top 500 artists of all time who have sold over 2.2 billion records worldwide.  Many of these artist are also in the Rock and Roll Hall of Fame."
Section.80,"Section.80 is the debut studio album by American rapper Kendrick Lamar.  It was released on July 2, 2011, by Top Dawg Entertainment.  The album features guest appearances from GLC, Colin Munroe, Ashtrobot, BJ the Chicago Kid, Schoolboy Q, Ab-Soul and vocals from late singer-songwriter Alori Joh.  The production was mainly handled by Top Dawg in-house producers from production group Digi+Phonics, along with THC, Tommy Black, Wyldfyer, Terrace Martin and J. Cole.  The concept album features lyrical themes delivered by Lamar such as the 1980s crack epidemic, racism and medication tolerance.  The album's lead single, ""HiiiPoWeR"" was released on April 12, 2011."
Kelly Rowland discography,"American recording artist Kelly Rowland has released four studio albums, two compilation albums, one box set, two extended plays and forty-four singles, including twenty as a featured artist and five promotional singles. Rowland began her career in 1997 with one of the best-selling girl groups, Destiny's Child, who have sold around 60 million records worldwide.  As a solo artist, Rowland has sold 40 million records worldwide."
Born 2 B.R.E.E.D.,"Born 2 B.R.E.E.D. is a 1993 single by Monie Love.  The single was written by Monie Love, Prince, and Levi Seacer Jr. ""Born 2 B.R.E.E.D."" was Monie Love's second release from her, In a Word or 2 album.  B.R.E.E.D. is an acronym for ""Build Relationships where Education and Enlightenment Dominate""."
Biddu,"Biddu Appaiah (born 1944), is an Indian-born, England-based singer-songwriter, composer and music producer who produced and composed many hit records worldwide during a career spanning five decades.  Considered one of the pioneers of disco, Euro disco, and Indian pop, he has sold millions of records worldwide, and has received Grammy and Ivor Novello awards for his work.  He has been ranked at number 34 on NME's ""The 50 Greatest Producers Ever"" list."
Roger Yang,"Roger Yang Pei-an (; born June 5, 1971) is a Taiwanese rock singer known for breaking out as an ""undiscovered"" talent at the age of 35 in the Taiwanese music industry with the hit song, ""I Believe"" (我相信) that established his powerhouse, octave-jumping vocal skills, leading him to be dubbed as the ""Iron Lung Prince"" (鐵肺王子) by the Taiwanese media and the ""Treble God"" (高音之神) by his fans.  His voice has often compared to late singer-songwriter Zhang Yu-Sheng due to his penchant for singing the latter's songs and their similar ability to sing high notes effortlessly and clearly without using falsetto."
Townes (album),"Townes is the 13th studio album by alternative country singer Steve Earle, released in 2009.  It is an album on which he pays tribute to his friend and mentor, the late singer-songwriter Townes Van Zandt by covering his songs.  According to a New West Records press release, ""The songs selected for ""Townes"" were the ones that meant the most to Earle and the ones he personally connected to (not including selections featured on previous Earle albums).  Some of the selections chosen were songs that Earle has played his entire career (""Pancho & Lefty"", ""Lungs"" and ""White Freightliner Blues"") and others he had to learn specifically for recording."
"Greetham, Lincolnshire","Greetham is a village in the East Lindsey district of Lincolnshire, England.  It is situated 3 mi east from Horncastle, and 0.5 mi north from the junction of the A158 and B1195 roads.  The village is in the civil parish of Greetham with Somersby .  To the west is High Toynton, and further to the north, Fulletby."
Blankney Hunt,"The Blankney Hunt is an English foxhound pack, based in the village of Blankney, Lincolnshire, with hunting country of around 20 mi by 11 mi within Lincolnshire and Nottinghamshire."
Lincolnshire Gate,"Lincolnshire Gate is the name given to a corner in the road between Holywell and Pickworth to the south-west of Castle Bytham, in Lincolnshire, England.  It is situated approximately 5 mi north from Stamford.  It describes a point where this small country road crosses the county border between Lincolnshire and Rutland, to pass between Newell Wood and Howitts Gorse.  On either side are the remains of small quarries, worked from the Middle Ages till the early 20th century for building and road stone for nearby use."
Somersby Grange,"Somersby Grange is a Grade I listed Georgian country house in Somersby, Lincolnshire."
Bag Enderby,"Bag Enderby is a hamlet in the civil parish of Greetham with Somersby , in the East Lindsey district of Lincolnshire, England.  It lies just north of the A158 road, 6 mi north-east from Horncastle and 4 mi north-west from Partney."
Greetham with Somersby,"Greetham with Somersby is a civil parish in the East Lindsey district of Lincolnshire, England.  It is situated approximately 3 mi north-east from the market town of Horncastle."
Salmonby,"Salmonby is a village in the East Lindsey district of Lincolnshire, England.  It is situated 5.5 mi north-east from Horncastle, 10 mi south from Louth and 8 mi north-west from Spilsby.  Salmonby lies within the Lincolnshire Wolds, a designated Area of Outstanding Natural Beauty.  Tetford lies to the north-east and Somersby to the south."
Ashby Puerorum,"Ashby Puerorum is a small village in the East Lindsey district of Lincolnshire, England.  The village situated 6 mi north-west from Partney, 4 mi east from Horncastle, to the north of the A158 road, and to the west of Bag Enderby.  It is in the civil parish of Greetham with Somersby."
Federal common law,"Federal common law is a term of United States law used to describe common law that is developed by the federal courts, instead of by the courts of the various states.  The United States is the only country to combine the creation of common law doctrines with a complete federalism, wherein the national supreme court has virtually no power to review state court decisions to determine whether the state courts have followed state laws.  The High Court of Australia is sometimes said to have federal common law, but because all state and territorial courts are directly appealable to the High Court, this is indistinguishable from a general common law.  In contrast, the United States Supreme Court has effectively barred the creation of federal common law in areas traditionally under the authority of state courts.  Nevertheless, there are several areas where federal common law continues to govern."
"Somersby, Lincolnshire","Somersby is a village in the East Lindsey district of Lincolnshire, England.  It is situated 6 mi north-west from Spilsby and 7 mi east-north-east from Horncastle.  The village lies in the civil parish of Greetham with Somersby (where the population is listed) in the Lincolnshire Wolds, a designated Area of Outstanding Natural Beauty; the parish covers about 600 acre ."
Victoria Duffield,"Victoria Duffield (born January 3, 1995) is a Canadian singer, actress and dancer.  After appearing as a finalist on the third season of the YTV reality competition series ""The Next Star"" in 2010, Duffield released her debut extended play, ""Secrets"", which included three singles.  She then signed with Warner Music Canada and released her debut single the following year, ""Shut Up and Dance"", which peaked at number 12 on the Canadian Hot 100 chart.  Her debut studio album of the same name was released in 2012 and included three additional singles, including ""They Don't Know About Us"", a collaboration with Cody Simpson.  Duffield's second studio album, ""Accelerate"" (2014), failed to chart in any countries.  However, its lead single, ""More Than Friends"", reached number 49 on the Canadian Hot 100."
Snapback (song),"""Snapback"" is a song by American country music group Old Dominion.  It was released on January 11, 2016 as the second single from their debut studio album, ""Meat and Candy"" (2015).  ""Snapback"" peaked at #2 and #4 on the ""Billboard"" Country Airplay and Hot Country Songs charts, and was the #2 Country Airplay record of 2016.  It also reached the top 50 on the Hot 100.  The song was certified Gold by the Recording Industry Association of America (RIAA), and has sold 413,570 copies in the United States as of July 2016.  It received similar chart success in Canada, giving the band their second #1 hit on the Canada Country chart and reaching #68 on the Canadian Hot 100.  It also garnered a Platinum certification from Music Canada, denoting sales of 80,000 units in that country.  The accompanying music video for the song was directed by Steve Condon and features the band in Los Angeles performing at a skate park and a house party."
Canadian Hot 100,"The Canadian Hot 100 is a music industry record chart in Canada for singles, published weekly by ""Billboard"" magazine.  The Canadian Hot 100 was launched on the issue dated June 16, 2007, and is currently the standard record chart in Canada; a new chart is compiled and officially released to the public by ""Billboard"" on Tuesdays."
Finger Eleven,"Finger Eleven is a Canadian rock band from Burlington, Ontario, formed in 1990.  They have released seven total studio albums (six as Finger Eleven and one as Rainbow Butt Monkeys), with their album ""The Greyest of Blue Skies"" bringing them into the mainstream.  The 2003 self-titled album achieved Gold status in the United States and Platinum in Canada, largely from the success of the single ""One Thing"", which marked the band's first placing on the US Hot 100 Chart at number 16.  Their 2007 album, ""Them vs. You vs. Me"", launched the single ""Paralyzer"", which went on to top numerous charts including the Canadian Hot 100 and both US rock charts, as well as reaching No. 6 on the US Hot 100 and No. 12 on the Australian Singles Chart.  They won the Juno Award for Rock Album of the Year in 2008.  It was later certified gold status in the US and multi platinum in Canada.  They released their sixth studio album, ""Life Turns Electric"", on October 5, 2010; it was nominated for a Juno Award for Best Rock Album of the Year.  They released their first single, ""Living in a Dream"", adding a little bit of more of funk rock and dance rock, just like their hit song ""Paralyzer"". "" Five Crooked Lines"", their 7th studio album, was released July 31, 2015, with ""Wolves and Doors"" as the lead single."
Let Me See Ya Girl,"""Let Me See Ya Girl"" is a song co-written and recorded by American country music artist Cole Swindell.  It was released to country radio in April 2015 as the fourth and final single from his self-titled debut album.  ""Let Me See Ya Girl"" reached numbers 2 and 9 on both the ""Billboard"" Country Airplay and Hot Country Songs charts respectively.  It also peaked at number 59 on the Hot 100 chart.  The song was certified Gold by the Recording Industry Association of America (RIAA), and has sold 282,000 units in the United States as of October 2015.  It achieved similar chart success in Canada, peaking at number 8 on the Country chart and number 99 on the Canadian Hot 100 chart."
Head Over Boots,"""Head Over Boots"" is a song co-written and recorded by American country music artist Jon Pardi.  It was released to radio on September 14, 2015 as the lead single to his second studio album, ""California Sunrise"".  The song was written by Pardi and Luke Laird.  Its Pardi's first number one hit in his career, topping the ""Billboard"" Country Airplay chart.  It also peaked at numbers 4 and 51 on both the Hot Country Songs and Hot 100 charts respectively.  ""Head Over Boots"" was certified Platinum by the Recording Industry Association of America (RIAA), and has sold 701,000 copies in that country as of January 2017.  The song also charted in Canada, reaching number 2 on the Canada Country chart and number 64 on the Canadian Hot 100 chart.  The video for the single, directed by Jim Wright, features a band led by Pardi performing for a couple as the former goes through outfit changes and the latter ages as time passes."
Animal (Neon Trees song),"""Animal"" is the lead single from Neon Trees' debut studio album, ""Habits"".  It debuted in June 2010 at number 100 on the ""Billboard"" Hot 100 and has reached a peak of number 13 in its twenty-two week on the chart.  In Canada, the song debuted at number 95 on the Canadian Hot 100 and has climbed to number 29.  The song has reached number one on the ""Billboard"" Alternative Songs chart after 32 weeks, making ""Animal"" their first number-one song on a ""Billboard"" chart.  This also broke the record for the longest-length of time for a song to get to the top of that list after entering.  The song reached number two on the ""Billboard"" Rock Songs chart.  In one of the music videos of the song, the band is destroying an art gallery.  On May 22, 2011, the song won Top Alternative Song in the 2011 ""Billboard"" Music Awards."
Can't Keep a Secret,"Can't Keep a Secret (stylized can'T keEp A SecrEt) is the second album by Canadian pop punk band Faber Drive.  The first single released from this album was ""G-Get Up and Dance"".  It reached number six on the Canadian Hot 100 chart.  Its second single, ""Give Him Up"", was released on November 30, 2009, and peaked at number 26 on the Canadian Hot 100.  Its third single, ""You and I Tonight"", peaked at number 49.  A fourth single, ""The Payoff"", failed to chart."
Single (music),"In music, a single, record single or music single is a type of release, typically a song recording of fewer tracks than an LP record, an album or an EP record.  This can be released for sale to the public in a variety of different formats.  In most cases, a single is a song that is released separately from an album, although it usually also appears on an album.  Typically, these are the songs from albums that are released separately for promotional uses such as digital download or commercial radio airplay and are expected to be the most popular.  In other cases a recording released as a single may not appear on an album."
Addictiv,"Tasha under the stage name of Addictiv, is a Canadian R&B and Hip hop singer/songwriter best known for her 2006 debut single ""Little Game"", which made the Canadian Hit 30 Countdown and Top 40 CHR charts.  In 2008 she garnered 2 Canadian Radio Music Awards nominations for Best New Group and Best New Group or Solo Artist-Dance/Urban/Rhythmic.  She had a hit single called ""Tonite"", which hit the Canadian CHUM Top 30 chart, and also hit the Canadian Hot 100 chart peaking at number 48.  She had a hit song on radio and MuchMusic called ""Just Breathe"".  She is about to embark on a nationwide tour.  Her 2009 hit single ""Over It"" produced by world-renowned DJ/Producer Cajjmere Wray, peaked at number 59 on the Canadian Hot 100 and the video was added out of the box to heavy rotation on MuchMusic, MuchMoreMusic and MuchVibe."
Edward F. Wente,"Edward F. Wente (born 1930) is an American professor emeritus of Egyptology and the Department of Near Eastern Languages and Civilizations at the University of Chicago.  He received his Ph.D from the University of Chicago in 1959 and lectured there from 1963 to 1996.  He is also a longstanding member of the Oriental Institute, Chicago.  One of his major works is ""Letters from Ancient Egypt"" (1990), published by the Scholarly Press.  In 1999 the Oriental Institute published a collection of essays by Egyptologists in honor of Edward Wente"" ""Gold of Praise: Studies on Ancient Egypt in Honor of Edward F. Wente""""."
There Goes My Baby (film),"There Goes My Baby (also released as The Last Days of Paradise) is a 1994 American coming-of-age comedy-drama film written and directed by Floyd Mutrux and starring Dermot Mulroney, Rick Schroder, Noah Wyle, Lucy Deakins, and Kelli Williams."
Sun Records (TV series),"Sun Records is an American drama television series based on the musical ""Million Dollar Quartet"" written by Colin Escott and Floyd Mutrux.  It takes place at the Sun Studio in Memphis.  The series stars Drake Milligan, Trevor Donovan, Kevin Fonteyne, Christian Lees, Dustin Ingram, Billy Gardell, Jonah Lees, Chad Michael Murray and Jennifer Holland.  The series premiered on CMT on February 23, 2017 and concluded on April 13, 2017.  While originally intended to be a three-night event, CMT extended the show to an eight episode miniseries and hinted that future episodes could be a possibility due to the show's success."
Edward F. Cline,"Edward Francis Cline (November 4, 1891 – May 22, 1961) was an American screenwriter, actor, writer and director best known for his work with comedians W. C. Fields and Buster Keaton.  He was born in Kenosha, Wisconsin and died in Hollywood, California."
Edward F. Caldwell &amp; Co.,"Edward F. Caldwell & Co., of New York City, was one of the premier designers and manufacturers of electric light fixtures and decorative metalwork from the late 19th to the mid-20th centuries.  Founded in 1895 by Edward F. Caldwell (1851–1914) and Victor F. von Lossberg (1853–1942), the firm left a legacy of custom designed and finely-made, metal gates, lanterns, chandeliers, ceiling and wall fixtures, floor and table lamps, and other decorative objects that can be found today in many metropolitan area churches, public buildings, offices, clubs, and residences including, the White House (1902 renovation), St. Patrick's Cathedral, New York, New York Public Library, and Rockefeller Center."
"Aloha, Bobby and Rose","Aloha, Bobby and Rose is a 1975 American road drama film about a young working-class couple who accidentally cause the death of a store clerk during their first date, and go on the run from the law.  The film was written and directed by Floyd Mutrux, and starred Paul Le Mat and Dianne Hull, in addition to Robert Carradine in an early role."
The Frozen North,"The Frozen North is a 1922 American short comedy film directed by and starring Buster Keaton.  The film is a parody of early western films, especially those of William S. Hart.  The film was written by Keaton and Edward F. Cline (credited as Eddie Cline).  The film runs for around 17 minutes.  Sybil Seely and Bonnie Hill co-star in the film."
Gen. Edward F. Jones House,"Gen. Edward F. Jones House is a historic home located at Binghamton in Broome County, New York.  It was constructed in 1872 and is a large 2 ⁄ -story, irregularly shaped building built of an eclectic combination of materials and textures.  It was part of a large estate assembled by General Edward F. Jones (1828–1913) by 1883.  The foundation and first floor are constructed of brick while the upper stories are of wood with shingle, beaded board, and clapboard siding.  It is an exceptional example of the Queen Anne style."
Floyd Mutrux,"Floyd Mutrux (born June 21, 1941) is an American stage and film director, writer, producer, and screenwriter."
American Me,"American Me is a 1992 biographical crime drama film produced and directed by Edward James Olmos, his first film as a director, and written by Floyd Mutrux and Desmond Nakano.  Olmos also stars as the film's protagonist, Montoya Santana.  Executive producers included record producer Lou Adler, screenwriter Mutrux, and Irwin Young.  It depicts a fictionalized account of the founding and rise to power of the Mexican Mafia in the California prison system from the 1950s into the 1980s."
Carmen Cervera,"María del Carmen Rosario Soledad Cervera y Fernández de la Guerra, Dowager Baroness Thyssen-Bornemisza de Kászon et Impérfalva (in German: ""María del Carmen Rosario Soledad Freifrau von Thyssen-Bornemisza de Kászon"", popularly known as Carmen ""Tita"" Cervera or Carmen ""Tita"" Thyssen) (Barcelona, 23 April 1943), daughter of Enrique Cervera Manent and his wife María del Carmen Fernández de la Guerra Álvarez (d. Madrid, 22 February 1992), is a Spanish philanthropist, socialite and art dealer and collector."
Pinar del Río Airport,"Pinar del Río Airport (IATA: QPD, ICAO: MUPR) is an abandoned airport formerly serving Pinar del Río, the capital city of the Pinar del Río Province in Cuba."
