id,title,text
14,Louise of Anhalt-Dessau (1709–1732),"Louise, Princess of Anhalt- Bernburg( née Princess Louise of Anhalt- Dessau; 21 August 1709 – 29 July 1732) was the first wife and consort of Victor Frederick, Prince of Anhalt- Bernburg."
15,Gisela Agnes of Anhalt-Köthen,"Gisela Agnes of Anhalt- Köthen( 21 September 1722, Köthen – 20 April 1751, Dessau) was a princess of Anhalt- Köthen by birth and by marriage Duchess of Anhalt- Dessau."
16,Dorothea Maria of Salm,"Dorothea Maria zu Salm( in French:"" Dorothée- Marie de Salm"")( 1651- 1702), was a German- Roman monarch as Princess Abbess of the immediate Imperial Remiremont Abbey in the Duchy of Lorraine which then formed a part of the Holy Roman Empire, but later on was annexed by France in 1766. Dorothea Maria zu Salm was the daughter of Prince Leopold Philipp Karl zu Salm and Countess Maria Anna von Bronckhorst- Batenburg, Heiress of Anholt. She was elected Coadjutrice as a child, with the right to succeed the existing abbess, Anne Marie Thérèse de Lorraine. She was chosen by dispensation from the Pope, despite being below the elective age of 25. The abbess at the time was also a child, and Remiremont was ruled by the Dame Doyenne, Hélène d'Anglure, and the Dame Sonière Bernarde de Cléron de Saffre( fl. 1704). When Anne Marie Thérèse de Lorraine died in 1661, Dorothea Maria succeeded her, with the same guardian government. Hélène d' Anglure died in 1666, but her successor as Dame Doyenne, Bernarde de Cléron de Saffre, refused to resign her regency to Dorothea Maria. In 1677, Dorothea Maria moved to the chateau Neuviller- sur- Moselle 3 days from Remiremont and engaged in a long lasting conflict about her rights to rule Remiremont. In 1691, both parties appeared before the French monarch as mediator. Dorothea Maria appointed her sister Christina of Salm as"" Second- in- Command"" in 1700, and Christina was therefore made regent in Remiremont during the minority of Béatrice Hiéronyme de Lorraine in 1702- 1711."
17,Frederica Henriette of Anhalt-Bernburg,"Frederica Henriette of Anhalt- Bernburg( 24 January 1702–4 April 1723), was a member of the House of Ascania and Princess of Anhalt- Bernburg by birth and a Princess of Anhalt- Köthen by marriage."
18,Anna Maria of Anhalt,"Anna Maria of Anhalt (Zerbst, 13 June 1561 – Brzeg, 14 November 1605), was by birth a member of the House of Ascania and a princess of Anhalt. After her marriage, she was Duchess of Legnica-Brzeg-Oława-Wołów. Anna Maria was the eldest daughter of Joachim Ernest, Prince of Anhalt, by his first wife Agnes, daughter of Wolfgang I, Count of Barby-Mühlingen."
19,"Leopold IV, Duke of Anhalt","Leopold IV Frederick, Duke of Anhalt (1 October 1794 – 22 May 1871) was a German prince of the House of Ascania. From 1817 until 1853 he was ruler of the duchy of Anhalt-Dessau and from 1847 until 1853 also ruler of the duchy of Anhalt-Köthen. From 1853 until 1863 he was the ruler of the joined duchy of Anhalt-Dessau-Köthen and from 1863 the first ruler of the united duchy of Anhalt."
20,Countess Henriette Catherine of Nassau,"Henriette Catherine of Nassau (10 February 1637 – 3 November 1708) was princess consort of Anhalt-Dessau by marriage to John George II, Prince of Anhalt-Dessau, and regent of Anhalt-Dessau from 1693 to 1698 during the minority (and then the absence) of her son Leopold I, Prince of Anhalt-Dessau."
21,Michelangelo Faggioli,"Michelangelo Faggioli( 1666–1733) was an Italian lawyer and celebrated amateur composer of humorous cantatas in Neapolitan dialect. A founder of a new genre of Neapolitan comedy, he was the composer of the opera buffa"" La Cilla"" in 1706."
22,Where Was I,""" Where Was I?"" may refer to:"
23,Hare-Way to the Stars,"Hare-Way to the Stars is a 1958 Warner Bros. ""Looney Tunes"" cartoon featuring Bugs Bunny and Marvin the Martian. The title is a play on the song ""Stairway to the Stars."""
24,George Gershwin,"George Gershwin (born Jacob Bruskin Gershowitz, September 26, 1898 – July 11, 1937) was an American composer and pianist whose compositions spanned both popular and classical genres. Among his best-known works are the orchestral compositions ""Rhapsody in Blue"" (1924) and ""An American in Paris"" (1928), the songs ""Swanee"" (1919) and ""Fascinating Rhythm"" (1924), the jazz standard "" I Got Rhythm"" (1930), and the opera ""Porgy and Bess"" (1935) which spawned the hit ""Summertime"". Gershwin studied piano under Charles Hambitzer and composition with Rubin Goldmark, Henry Cowell, and Joseph Brody. He began his career as a song plugger but soon started composing Broadway theater works with his brother Ira Gershwin and with Buddy DeSylva. He moved to Paris intending to study with Nadia Boulanger, but she refused him. He subsequently composed ""An American in Paris"", returned to New York City and wrote ""Porgy and Bess"" with Ira and DuBose Heyward. Initially a commercial failure , it came to be considered one of the most important American operas of the twentieth century and an American cultural classic. Gershwin moved to Hollywood and composed numerous film scores. He died in 1937 of a malignant brain tumor. His compositions have been adapted for use in film and television, with several becoming jazz standards recorded and covered in many variations."
25,Walter Robinson (composer),"Walter Robinson is an African American composer of the late 20th century. He is most notable for his 1977 song"" Harriet Tubman"", which has been recorded by folk musicians such as Holly Near, John McCutcheon, and others. He is also the composer of several operas."
26,Stairway to Paradise,"""Stairway to Paradise"", also known as ""I'll Build a Stairway to Paradise"", is a song composed in 1922 by George Gershwin with lyrics by Ira Gershwin (under the name Arthur Francis) and Buddy DeSylva (under the name of B. G. De Sylva) for the Broadway revue ""George White's Scandals"". Popular recordings in 1922–23 were by Carl Fenton; Paul Whiteman; and by Ben Selvin. It was more famously performed in the 1951 American musical ""An American in Paris"" by Georges Guétary. In ""An American in Paris"", it was entitled ""I'll Build a Stairway to Paradise"". The song is heard in the 2004 Howard Hughes biopic ""The Aviator"", being sung by Rufus Wainwright, in a scene at the Cocoanut Grove night club set in 1927. The lyrics make it clear that the ""steps"" on the stairway are dance steps."
27,Alexander Courage,"Alexander Mair"" Sandy"" Courage Jr.( December 10, 1919 May 15, 2008) was an American orchestrator, arranger, and composer of music, primarily for television and film. He is best known as the composer of the theme music for the original"" Star Trek"" series."
28,Petrus de Domarto,"Petrus de Domarto( fl. c. 1445– 1455) was a Franco- Flemish composer of the Renaissance. He was a contemporary and probable acquaintance of Ockeghem, and was the composer of at least one of the first unified mass cycles to be written in continental Europe."
29,Alonso Mudarra,"Alonso Mudarra( c. 1510 – April 1, 1580) was a Spanish composer of the Renaissance, and also played the vihuela, a guitar- shaped string instrument. He was an innovative composer of instrumental music as well as songs, and was the composer of the earliest surviving music for the guitar."
30,Alexandru Cristea,"Alexandru Cristea( 1890 – 1942) was the composer of the music for"" Limba Noastră"", current national anthem of Moldova."
31,Scotty Fox,Scott Fox is a pornographic film director who is a member of the AVN Hall of Fame.
32,Logan Sandler,"Logan Sandler is an American writer and director who is best known for his first feature film"" Live Cargo""."
33,A Certain Mister,"A Certain Mister, is a French crime film from 1950, directed by Yves Ciampi, written by Yannick Boysivon, and starring Louis de Funès. The script is based on Jean Le Hallier's novel"" Prix du Quai des Orfèvres""( 1947)."
34,Yves Ciampi,"Yves Ciampi (9 February 1921 – 5 November 1982) was a French film director. He was married to Japanese actress Kishi Keiko from 1957 to 1975. His 1965 film ""Heaven on One's Head"" was entered into the 4th Moscow International Film Festival where it won a Golden Prize. In 1969 he was a member of the jury at the 6th Moscow International Film Festival."
35,Edmond T. Gréville,"Edmond T. Gréville( real name Edmond Gréville Thonger, 20 June 1906 Nice – 26 May 1966, Nice) was a French film director and screenwriter. He was married to the actress Vanda Gréville."
36,Rufus Norris,"Rufus Norris( born 16 January 1965) is a British theatre and film director, who is currently the Artistic Director of the National Theatre."
37,Ben Palmer,"Ben Palmer is a British film and television director who is known for being the director of"" Bo' Selecta"" and"" The Inbetweeners""."
38,Dan Milne,"Dan Milne is a British actor/ director who is possibly best known for his role in"" EastEnders""."
39,Elliot Silverstein,"Elliot Silverstein( born August 3, 1927, in Boston, Massachusetts) is an American director, who is best known for being the director of the movie"" Cat Ballou""( 1965)."
40,A Woman in the Night,"A Woman in the Night( French: Une femme dans la nuit) is a 1943 French drama film directed by Edmond T. Gréville and starring Viviane Romance, Georges Flamant and Claude Dauphin. The film's sets were designed by the art director Jean Douarinou."
41,"George Stewart, 9th Seigneur d'Aubigny","George Stewart (or Stuart), 9th Seigneur d'Aubigny (17 July 1618 – 23 October 1642) was a Scottish nobleman and Royalist commander in the English Civil War. He was the son of Esmé Stewart, 3rd Duke of Lennox, and his wife Katherine Clifton, 2nd Baroness Clifton, and the brother of James Stewart, 1st Duke of Richmond and 4th Duke of Lennox, and of the Royalist commander Lord Bernard Stewart. Stewart, his older brother Henry, and younger brother Ludovic were brought up at Aubigny in France as Roman Catholics under the charge of their paternal grandmother, the old Duchess-Dowager, Katherine de Balsac. Stewart's father, the Duke of Lennox, died in 1624, and Stewart became a ward of his cousin, King Charles I of England. He inherited the Lordship of Aubigny at the age of 14 on the death of his elder brother Henry in 1632. By 1633, he was a student at the Collège de Navarre, part of the University of Paris, and he did homage to Louis XIII of France for the lordship of Aubigny on 5 August 1636, shortly after his eighteenth birthday. Later that year he moved to England. In 1638 he secretly married Katherine Howard, the daughter of Theophilus Howard, 2nd Earl of Suffolk, and Elizabeth Home, without her father's consent, offending his guardian the king. The portrait of Stewart by Anthony van Dyck, now in the National Portrait Gallery, London, may have been painted to mark his marriage; the Latin inscription can be translated ""Love is stronger than I am"" which may allude to his conflicting loyalties. His younger brothers Lords John and Bernard are shown in a still more famous double Van Dyck portrait in the National Gallery, London - the iconic image of Cavaliers. They were also both killed in the Civil War.
George Stewart and Katherine Howard had two children: He fought with the French against the Spanish in the Battle of Montjuïc (1641). As civil war loomed in England, Stewart joined the forces of King Charles at York where he was knighted on 18 April 1642 along with his brother Bernard. He was mortally wounded in the first pitched battle of the war at Edgehill on Sunday 23 October 1642, aged 24. He was buried in Christ Church Cathedral, Oxford. The lordship of Aubigny passed to his next brother, Ludovic, on his death. His widow remarried James Levingston, 1st Earl of Newburgh and had one further child Elizabeth. They were suspected in 1648 of plotting to rescue Charles I and on the discovery of the supposed plot fled to the Netherlands where Katherine died in 1650."
42,"Esmé Stewart, 3rd Duke of Lennox","Esmé Stewart, 3rd Duke of Lennox KG (157930 July 1624) was the son of Esmé Stewart, 1st Duke of Lennox and Catherine de Balsac. He was a patron of the playwright Ben Jonson, who lived in his household for five years. At the death of his brother the 2nd Duke of Lennox, he was already Earl of March and Lord Clifton of Leighton Bromswold in the peerage of England (1619) as well as 7th Seigneur d'Aubigny. On 9 February 1608 he performed in the masque ""The Hue and Cry After Cupid"" at Whitehall Palace as a sign of the zodiac, to celebrate the wedding of John Ramsay, Viscount Haddington to Elizabeth Radclyffe . He married Katherine Clifton, 2nd Baroness Clifton, in 1609. They had eleven children: He died in 1624 and was interred, on 6 August 1624, in Westminster Abbey."
43,Sennedjem,"The Ancient Egyptian artisan Sennedjem lived in Set Maat( translated as"" The Place of Truth""), contemporary Deir el- Medina, on the west bank of the Nile, opposite Thebes, during the reigns of Seti I and Ramesses II. Sennedjem had the title"" Servant in the Place of Truth"". He was buried along with his wife, Iyneferti, and family in a tomb in the village necropolis. His tomb was discovered January 31, 1886. When Sennedjem's tomb was found, in it there was regular furniture from his home, including a stool and a bed, which he actually used when he was alive. His titles included Servant in the Place of Truth, meaning that he worked on the excavation and decoration of the nearby royal tombs."
44,Lord John Stewart,"Lord John Stewart( 23 October 1621 – 29 March 1644) was a Scottish aristocrat who served as a Royalist commander in the English Civil War. He was one of five sons of Esmé Stewart, 3rd Duke of Lennox and his wife Katherine Clifton, 2nd Baroness Clifton, and the brother of James Stewart, 1st Duke of Richmond. With his youngest brother, Lord Bernard Stewart, he embarked on a three- year tour of the continent in 1639, before returning to join the King ’s cause in the Civil War as a General. He was killed at the Battle of Cheriton near Alresford, Essex, on 29 March 1644. Only one of his brothers, Lodovic, survived the war to see the restoration of the monarchy in 1660."
45,William Rockhill Nelson,"William Rockhill Nelson( March 7, 1841 – April 13, 1915) was a real estate developer and co-founder of The Kansas City Star in Kansas City, Missouri. He donated his estate( and home) for the establishment of the Nelson- Atkins Museum of Art. Place of burial: Mount Washington Cemetery, Independence Missouri."
46,Emperor Daigo,Daigo's reign spanned the years from 897 through 930. He is named after his place of burial.
47,Carole Lynne,"Helen Violet Carolyn Delfont, Baroness Delfont( née Heyman; 16 September 1918 – 17 January 2008), known professionally as Carole Lynne, was a British theatre actress, best known for her work in the 1940s and 1950s. She was the widow of the impresario Lord Bernard Delfont, a prominent figure in the British entertainment industry."
48,Bernard Stewart,Bernard Stewart or Stuart may refer to:
49,Lord Bernard Stewart,"Lord Bernard Stewart (1623 – 26 September 1645) was a Scottish aristocrat who served as a Royalist commander in the English Civil War. He was the youngest of the five sons of Esmé Stewart, 3rd Duke of Lennox, and his wife Katherine Clifton, 2nd Baroness Clifton, and the brother of James Stewart, 1st Duke of Richmond. Lord Bernard was to be created Earl of Lichfield by King Charles I for his actions at the first and second battles of Newbury and Naseby but died of injuries received leading a sortie against besieging Parliamentary forces in the Battle of Rowton Heath in September 1645, before the patent could be implemented. The titles of Baron Newbury and Earl of Lichfield were instead created in December 1645 for his six-year-old nephew, Charles Stewart (1639–1672), the son of Bernard's elder brother George Stewart, 9th Seigneur d'Aubigny, who had been killed at the Battle of Edgehill in 1642. His brother John was also killed in the war."
50,"Bernard Stewart, 4th Lord of Aubigny","Bernard Stewart, 4th Lord of Aubigny( French: Bérault Stuart)( c. 1452 – 15 June 1508) was a French soldier, commander of the"" Garde Écossaise"", and diplomat belonging to the Scottish family of Stewart of Darnley."
51,Victor Man,Victor Man( born 1974) is a Romanian- born artist and painter.
52,Janice Man,"Janice Man( born December 29, 1988) is a Hong Kong actress and fashion model."
53,Iron Man 3,"Iron Man 3 is a 2013 American superhero film based on the Marvel Comics character Iron Man, produced by Marvel Studios and distributed by Walt Disney Studios Motion Pictures. It is the sequel to 2008's"" Iron Man"" and 2010's"" Iron Man 2"", and the seventh film in the Marvel Cinematic Universe( MCU). The film was directed by Shane Black from a screenplay he co-wrote with Drew Pearce, and stars Robert Downey Jr. as Tony Stark/ Iron Man, alongside Gwyneth Paltrow, Don Cheadle, Guy Pearce, Rebecca Hall, Stéphanie Szostak, James Badge Dale, Jon Favreau, and Ben Kingsley. In"" Iron Man 3"", Tony Stark wrestles with the ramifications of the events of"" The Avengers"", during a national terrorism campaign on the United States led by the mysterious Mandarin. After the release of"" Iron Man 2"" in May 2010, Favreau, who served as director, decided not to return and in February 2011, Black was hired to write and direct the film. Black and Pearce opted to make the script more character- centric and focused on thriller elements, which also uses concepts from the"" Extremis"" story arc by Warren Ellis. Throughout April and May 2012, the film's supporting cast was filled out, with Kingsley, Pearce, and Hall brought in to portray key roles. Filming began on May 23, and lasted through December 17, 2012, primarily at EUE/ Screen Gems Studios in Wilmington, North Carolina. Additional shooting took place at various locations around North Carolina, as well as Florida, China, and Los Angeles. The visual effects were handled by 17 companies, including Scanline VFX, Digital Domain, and Weta Digital. The film was converted to 3D in post-production. "" Iron Man 3"" premiered at the Grand Rex in Paris on April 14, 2013, and released in the United States on May 3, 2013. The film received praise from critics for its performances, visual effects, action sequences, humor and Brian Tyler's musical score, while reception to its plot twist was mixed. It was a huge box office success, grossing over$ 1.2 billion worldwide, making it the second highest- grossing film of 2013 and the sixteenth film to gross over$ 1 billion, as well as the fifth highest- grossing film of all time, with its opening weekend ranking as the sixth- highest of all- time. The film received Best Visual Effects nominations at the Academy Awards and the BAFTA Awards."
54,Jay Marchant,"Jay Marchant (January 7, 1888 – June 14, 1962) was an American film director and actor of the silent era. He directed 22 films between 1921 and 1925, including five film serials for the Universal Film Manufacturing Company. He was born in Tripp County, South Dakota and died in Los Angeles County, California."
55,Huh Young-man,"Huh Young- man( born June 26, 1947) is a South Korean manhwa artist."
56,Sharla Cheung,Sharla Cheung Man( born 7 February 1967) is a Hong Kong actress and film producer.
57,The Iron Man (serial),The Iron Man is a 1924 American film serial directed by Jay Marchant.
58,Kim Jung-man,"Kim Jung-man( born October 30, 1954) is a South Korean photographer."
59,Iron Man 2,"Iron Man 2 is a 2010 American superhero film based on the Marvel Comics character Iron Man, produced by Marvel Studios and distributed by Paramount Pictures. It is the sequel to 2008's"" Iron Man"", and the third film in the Marvel Cinematic Universe( MCU). Directed by Jon Favreau and written by Justin Theroux, the film stars Robert Downey Jr. as Tony Stark/ Iron Man, alongside Gwyneth Paltrow, Don Cheadle, Scarlett Johansson, Sam Rockwell, Mickey Rourke, and Samuel L. Jackson. Six months after the events of"" Iron Man"", Tony Stark is resisting calls by the United States government to hand over the Iron Man technology while also combating his declining health from the arc reactor in his chest. Meanwhile, rogue Russian scientist Ivan Vanko has developed the same technology and built weapons of his own in order to pursue a vendetta against the Stark family, in the process, joining forces with Stark's business rival, Justin Hammer. Following the successful release of"" Iron Man"" in May 2008, Marvel Studios announced and immediately set to work on producing a sequel. In July of that same year, Theroux was hired to write the script, and Favreau was signed to return and direct. Downey, Paltrow, and Jackson were set to reprise their roles from"" Iron Man"", while Cheadle was brought in to replace Terrence Howard in the role of James Rhodes. In the early months of 2009, Rourke, Rockwell, and Johansson filled out the supporting cast, and filming took place from April to July of that year. Like its predecessor, the film was shot mostly in California, except for a key sequence in Monaco. "" Iron Man 2"" premiered at the El Capitan Theatre on April 26, 2010, and was released in the United States on May 7, 2010. The film received generally positive reviews, with praise for Downey's performance as well as for the action sequences, musical score and visual effects. However, the film received criticism for its villain and pacing, with many critics deeming the film inferior to the original. The film was commercially successful, grossing over$ 623.9 million at the worldwide box office, making it the seventh- highest- grossing film of 2010, and receiving an Academy Award nomination for Best Visual Effects. The third and final installment of the"" Iron Man"" series,"" Iron Man 3"", was released on May 3, 2013."
60,Bryan Man,"Bryan Man( born December 8, 1983) is an Argentine- Israeli professional football( soccer) player."
61,Mike Ashley (businessman),"Michael James Wallace Ashley (born 9 September 1964) is a British billionaire retail entrepreneur in the sporting goods market, and the chief executive of Sports Direct. He entered the department store industry following the acquisition of House of Fraser following administration in 2018. He is also the owner of Newcastle United after paying around £135 million to buy the club. According to The ""Sunday Times Rich List"" in 2019, Ashley is worth £1.976 billion, a decrease of £461 million from the previous year. Since Sports Direct International Plc went public, and his purchase of Newcastle United where he took to sitting in the stands with fans, Ashley took on a more public and accessible persona. However, after the departure of Kevin Keegan as manager and the club's relegation, he has only made low key appearances when attending Newcastle matches."
62,Iraqi nationality law,Iraqi nationality is transmitted by one's parents.
63,Teresa of St. Rose of Lima,"Teresa of St. Rose of Lima was the founder of the Institute of the Carmelite Sisters of St. Teresa( CSST) Congregation in Kerala, India."
64,Jon St. James,"Jon St. James is an American guitarist, songwriter – composer, producer and recording engineer. His Casbah Recording Studio was a part of Orange County, California's new music scene in the late 1970s and early to mid-1980s. St. James' first album was as leader – frontman – songwriter of the progressive rock group French Lick. St James was a pioneer of techno pop and dance music, using Moog synthesizers, electronic effects, and tape loops. St. James lived in France for two years, studying Musique concrète with French composers. There he first used Revox A77 tape machines to create ambient electronic textures. Upon returning from France, St. James started the electronic pop group Q with Stacey Swain( Stacey Q), Dan Van Patten from Berlin and John Van Tongeren. Q released one single,"" Playback"", on Cocteau Records, which was co-owned by Bill Nelson of Bebop Deluxe fame. Q also released a self- titled EP on red vinyl in the US on M.A.O. Records in 1982. Q later became SSQ and signed with EMI America Records on the heels of St. James' recording the first Berlin album"" Pleasure Victim"". EMI signed St. James to a six- record solo deal. The first single off St. James' solo album"" Trans- Atlantic"" was to be"" The Girl Who Seduced the World"", which David Bowie wanted for his album"" Let's Dance"". However, EMI America closed its doors almost immediately after the release of the SSQ and Jon St. James albums. St. James continued to do TV and movie work. He and Swain regrouped as Stacey Q in 1984 and released"" Two of Hearts"", which became a worldwide pop hit on Atlantic Records."
65,Sky Dayton,"Sky Dylan Dayton( born August 8, 1971) is an American entrepreneur and investor. He is the founder of Internet service provider EarthLink, co-founder of eCompanies, and the founder of Boingo."
66,John De Margheriti,"John De Margheriti( born July 1962) is an Italian- born Australian electrical engineer, software developer and entrepreneur. De Margheriti is widely seen as a founding' father' of Australia's video games industry and Australia's most experienced interactive entertainment business executive. He is the founder and former CEO of BigWorld Pty Limited and the founder of parent company Micro Forté Pty Limited. De Margheriti is also the Executive Chairman of the Academy of Interactive Entertainment, the Chairman of Canberra Technology Park, the founder of the Game Developers' Association of Australia, the founder of the Australian Game Developers Conference, and the founder of the three Canberra business parks, the co-founder of DEMS Entertainment, the co-founder of Dreamgate Studios, the co-founder of Game Plus and co-founder of The Film Distillery De Margheriti has been recognised as an Honorary Ambassador for Canberra due to his contribution to Australia's national capital."
67,Cathedral of St. James,Cathedral of St. James or St. James Cathedral may refer to:
68,Cyrus Massoumi,Cyrus Massoumi is the founder of the investment fund humbition. He is also the founder of Zocdoc and was the company CEO for eight years.
69,St. James' Church,"St James Church, St. James' Church or St. James Chapel or St. James Parish Church may refer to:"
70,St James Holdings,"St James Holdings Limited is a company set up by tycoon Mike Ashley, specifically to acquire shares of Newcastle United Football Club. The company name is a reference to St James' Park, the stadium of Newcastle United. On 23 May 2007 English businessman Mike Ashley bought Sir John Hall's stake in Newcastle United F.C of 41.6% for £55,342,223, valuing the club at £132,810,710.35, he then launched a formal takeover bid at 100p per share. This was a 14% rise on the price at closing on the London Stock Exchange the day before. Chairman Freddy Shepherd, who was in hospital at the time of the bid suffering from a punctured lung, said that he planned to fight the takeover and not allow Mike Ashley to get his hands on his 29.8%."
71,Luis Bayón Herrera,"Luis Bayón Herrera (23 September 1889 – 30 March 1956) was a Spanish film director and screenwriter who worked in Argentine film of the 1940s and 1950s. He was ""one of the most important directors of the golden age of Argentine cinema"". Herrera was born in Bilbao, Spain. He directed some 40 different Argentine feature films and in the last few years of his career in the early 1950s he worked on Cuban production with films such as ""A La Habana me voy"" in 1951. He died in Buenos Aires in 1956, aged 66."
72,"Candida, Millionairess","Candida, Millionairess  is a 1941 Argentine musical comedy film directed by Luis Bayón Herrera, who adapted the Pedro E. Pico play."
73,Brian Kennedy (gallery director),"Brian Patrick Kennedy( born 5 November 1961) is an Irish- born art museum director who has worked in Ireland and Australia, and now lives and works in the United States. He is currently the director of the Peabody Essex Museum. He was the director of the Toledo Museum of Art in Ohio from 2010 to 2019. He was the director of the Hood Museum of Art from 2005 to 2010, and the National Gallery of Australia( Canberra) from 1997- 2004."
74,Michael Govan,"Michael Govan( born 1963) is the director of the Los Angeles County Museum of Art since 2006. Prior to this, Govan worked as the director of the Dia Art Foundation in New York City."
75,Dana Blankstein,"Dana Blankstein- Cohen( born March 3, 1981) is the director of the Israeli Academy of Film and Television. She is a film director, and an Israeli culture entrepreneur."
76,Peter Levin,"Peter Levin is an American director of film, television and theatre."
77,Ian Barry (director),Ian Barry is an Australian director of film and TV.
78,John Donatich,John Donatich is the Director of Yale University Press.
79,John Farrell (businessman),John Farrell is the director of YouTube in Latin America.
80,Olav Aaraas,"Olav Aaraas( born 10 July 1950) is a Norwegian historian and museum director. He was born in Fredrikstad. From 1982 to 1993 he was the director of Sogn Folk Museum, from 1993 to 2010 he was the director of Maihaugen and from 2001 he has been the director of the Norwegian Museum of Cultural History. In 2010 he was decorated with the Royal Norwegian Order of St. Olav."
